standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
কদু গাছ থেইক্কা লাউ তোলা হইতে লাগজে,কদু গাছ থাকি লাউ পাড়া হর,কদু গাছ থাকি লাউ তোলা অইতো লাগের,কদু গাছ থাকি লাউ তোলা অইরায়,কদু গাছ থাকি লাউ তোলা অইতে লাগরা,কদু গাছ থাকি লাউ পাড়া হর,sylhet
কুমড়া ক্ষেত হলুদ ফুলে ভরে গেছে  ,কুমড়ার ঝার ওইলদা ফুলে ভরি গেছে,খুমড়া খেত হলুদ ফুলও ভরি গেছে,কুমড়া খেত হলুদ ফুলত ভরি গেসে,কুমড়া খেত হলুদ ফুলো ভরি গেছে,কুমড়ার ঝার ওইলদা ফুলে ভরি গেছে,sylhet
শশা খুব সতেজ দেখাচ্ছে  ,শশা খুব টাটকা দেখার,শশা খুব তাজাও দেখায়,শশা হাচাউ বাক্কা সতেজ দেখাইরায়,শশা খুব তাজা দেখাইরা,শশা খুব টাটকা দেখার,sylhet
পালং শাক রান্না করা হচ্ছে  ,পালংশাখ রান্দা হর,পালং শাক রান্ধা অইের,ফালং শাক রান্দা করা অইরায়,ফালং শাক রান্ধা অইরা,পালংশাখ রান্দা হর,sylhet
ফুলকপি সাদা হয়ে আছে  ,ফুলকবি সাদা হই থাকছে,ফুলকপি সাদা অইয়া আছে,ফুলকফি সাদা অইয়া আছে,ফুলকপি সাদা অইয়া আছে,ফুলকবি সাদা হই থাকছে,sylhet
বাঁধাকপি কেটে আনা হয়েছে  ,পাতাকবি কাটিয়া আনা হইছে,বান্ধাখফি খাডি আনা অইছে,বাধাকফি কাটি আনা অইছে,বাঁধাকপি কাটি আনা অইছে,পাতাকবি কাটিয়া আনা হইছে,sylhet
পটল ভাজি করা হচ্ছে  ,পটল ভাজা করা হর,ফটল ভাজি খরা অইের,ফটল ভাজি করা অইরায়,ফটল ভাজি করা অইরা,পটল ভাজা করা হর,sylhet
কাঁচামরিচ খুব ঝাল  ,কাঁচামরিচ খুব ঝাল,খাছা মরিছ খুব ঝাল,কাঁচামরিচ হাচাউ বাক্কা ঝাল,কাঁচামরিচ খুব ঝাল,কাঁচামরিচ খুব ঝাল,sylhet
রসগোল্লা মুখে দিলেই গলে যায়  ,রসগোল্লা মুখো দিলেউ গলি যায়,রসগোল্লা মুকও দিলেউ গলি যায়,রসগোল্লা মুখত দিলেই গলি যায়,রসগোল্লা মুখত দিলেই গলি যায়,রসগোল্লা মুখো দিলেউ গলি যায়,sylhet
আনারসের শরবত মিষ্টি টক লাগে  ,আনারসোর শরবত টকমিষ্টি লাগে,আনারসর শরবত মিষ্টি টক লাগে,আনারসর শরবত মিষ্টি টক লাগে,আনারসর শরবত মিষ্টি টক লাগে,আনারসোর শরবত টকমিষ্টি লাগে,sylhet
সমুদ্রের মাছ লবণাক্ত স্বাদের হয়  ,সাগরোর মাছ নুন্তা নুন্তা লাগে,সমূদ্রর মাছ নুন নুন লাগে,সমুদ্রর মাছ লবনাক্ত স্বাদর অয়,সাগরের মাছ নুনতা স্বাদর অয়,সাগরোর মাছ নুন্তা নুন্তা লাগে,sylhet
পেয়ারার আচার মিষ্টি ও ঝাঁঝালো হয়  ,হফরির আচার মিঠা আর ঝাল ঝাল লাগে,পেয়ারার আচার মিষ্টি আর ঝালর অয়,ফেয়ারার আচার মিষ্টি আর ঝাঁঝালো অয়,পেয়ারার আচার মিষ্টি আর ঝাজালো অয়,হফরির আচার মিঠা আর ঝাল ঝাল লাগে,sylhet
কাঁচা জলপাই কামড় দিলে টক লাগে  ,কাঁচা বেলকইও কামড় দিলে চুকা লাগে,খাছা জলফাইর কামড় দিলে টক লাগে,কাঁচা জলফাই কামড় দিলে টক লাগে,কাঁচা জলপাই কামড় দিলে টক লাগে,কাঁচা বেলকইও কামড় দিলে চুকা লাগে,sylhet
চানাচুর ভাজলে নোনতা ও মুচমুচে হয়  ,চানাচুর ভাজলে নুন্তা আর মরমরা হয়,চানাচুর ভাজলে নোনতা আর মুচমুচে অয়,চানাচুর বাজলে নোনতা আর মুচমুচে অয়,চানাচুর ভাজলে নুনতা আর মুচমুচে অয়,চানাচুর ভাজলে নুন্তা আর মরমরা হয়,sylhet
গোলমরিচ গুঁড়ো খাবারে ঝাঁঝালো স্বাদ আনে  ,গোলমরিচোর গুড়ায় খানিত ঝালোউয়া স্বাদ করে,গোলমরিছর গুড়া খানিত ঝালর সোয়াদ আনে,গোলমরিচর গুড়া খাওয়াত ঝাঁঝালো স্বাদ আনয়,গোলমরিচ গুঁড়ো খাওয়াত ঝাজালো স্বাদ আনে,গোলমরিচোর গুড়ায় খানিত ঝালোউয়া স্বাদ করে,sylhet
